65,24,1
46,42,1
55,5,1
116,21,1
138,103,1
130,1,1
91,13,1
141,145,1
146,92,1
47,9,1
38,86,1
110,41,1
108,105,1
32,2,1
100,94,1
35,15,1
26,98,1
50,39,1
107,26,1
12,17,1
17,90,1
21,81,1
149,140,1
37,23,1
150,10,1
91,108,1
115,27,1
7,120,1
11,125,1
53,62,1
104,84,1
142,6,1
57,59,1
40,29,1
56,32,1
133,125,1
59,61,1
9,39,1
66,48,1
16,38,1
88,93,1
52,67,1
128,46,1
113,107,1
144,136,1
117,130,1
60,20,1
93,34,1
43,52,1
14,8,1
3,101,1
97,130,1
64,117,1
145,38,1
91,79,1
101,140,1
146,37,1
129,114,1
108,50,1
91,101,1
107,79,1
122,114,1
145,82,1
82,87,1
99,108,1
109,77,1
7,15,1
141,131,1
106,81,1
41,136,1
33,59,1
122,92,1
120,68,1
93,1,1
55,47,1
19,131,1
21,121,1
45,140,1
141,119,1
113,70,1
94,32,1
18,57,1
123,45,1
28,98,1
78,108,1
144,52,1
62,19,1
59,127,1
18,72,1
17,110,1
39,23,1
86,117,1
33,67,1
46,63,1
125,9,1
123,121,1
128,141,1
52,43,1
44,120,1
91,16,1
97,101,1
100,109,1
142,58,1
20,28,1
75,150,1
137,100,1
61,87,1
79,132,1
141,31,1
43,12,1
37,87,1
50,65,1
127,125,1
137,78,1
122,65,1
149,54,1
101,113,1
11,61,1
3,83,1
67,71,1
76,35,1
42,95,1
51,136,1
139,133,1
39,12,1
62,131,1
58,90,1
147,113,1
25,147,1
31,115,1
11,96,1
104,73,1
62,124,1
117,101,1
145,76,1
80,89,1
7,125,1
115,20,1
55,7,1
79,141,1
84,56,1
130,31,1
97,80,1
89,51,1
142,39,1
111,64,1
104,117,1
94,8,1
44,6,1
70,127,1
8,7,1
111,46,1
83,11,1
5,72,1
63,139,1
84,12,1
97,44,1
85,1,1
145,35,1
28,110,1
98,140,1
48,19,1
40,112,1
81,59,1
9,121,1
18,84,1
16,108,1
8,89,1
64,22,1
121,136,1
121,107,1
125,146,1
52,57,1
107,72,1
46,51,1
55,28,1
90,9,1
34,77,1
56,34,1
98,89,1
68,2,1
23,45,1
113,142,1
73,89,1
88,95,1
139,126,1
18,34,1
118,54,1
129,45,1
70,129,1
144,3,1
106,147,1
92,61,1
45,145,1
112,123,1
24,23,1
89,79,1
80,148,1
132,52,1
129,94,1
145,36,1
112,81,1
101,138,1
18,79,1
140,45,1
64,109,1
54,16,1
136,21,1
30,119,1
35,72,1
109,49,1
24,35,1
146,61,1
3,19,1
9,68,1
51,45,1
62,112,1
59,94,1
143,14,1
95,85,1
121,86,1
108,67,1
48,70,1
33,57,1
116,3,1
7,39,1
41,144,1
42,46,1
18,29,1
149,43,1
86,38,1
69,22,1
58,13,1
15,110,1
106,3,1
32,129,1
81,19,1
54,120,1
86,24,1
65,112,1
87,29,1
48,1,1
25,1,1
123,5,1
149,134,1
43,82,1
71,84,1
27,55,1
140,2,1
96,97,1
38,103,1
21,53,1
95,82,1
100,138,1
145,73,1
131,138,1
31,5,1
61,85,1
114,145,1
90,5,1
103,133,1
54,39,1
30,42,1
28,46,1
64,48,1
47,133,1
83,30,1
16,44,1
69,31,1
92,132,1
28,93,1
38,53,1
105,23,1
64,69,1
80,47,1
104,60,1
58,135,1
40,101,1
77,32,1
17,101,1
12,143,1
149,143,1
62,129,1
121,126,1
100,8,1
121,133,1
9,118,1
17,127,1
86,100,1
44,113,1
63,98,1
14,78,1
104,81,1
62,68,1
37,72,1
119,109,1
124,140,1
116,17,1
103,130,1
88,52,1
150,67,1
19,147,1
29,40,1
34,149,1
32,6,1
77,72,1
75,88,1
72,38,1
145,144,1
90,80,1
83,148,1
120,32,1
82,149,1
145,15,1
38,44,1
106,31,1
26,110,1
48,63,1
38,6,1
144,36,1
146,133,1
66,94,1
63,26,1
87,9,1
13,16,1
35,127,1
132,85,1
49,16,1
95,64,1
147,94,1
26,50,1
135,67,1
134,103,1
62,79,1
74,145,1
